============================================================
🌟 智能旅游规划系统 - 行程方案
============================================================
📅 生成时间: 2025年12月14日 21:09:53
============================================================

```markdown
# 云南5天4晚旅游行程表

## 行程概览

| 日期       | 上午             | 下午             | 晚上             |
|------------|------------------|------------------|------------------|
| 第一天     | 抵达丽江，入住酒店 | 丽江古城游览     | 丽江古城夜景     |
| 第二天     | 玉龙雪山游览     | 蓝月谷游览       | 丽江古城自由活动 |
| 第三天     | 前往大理         | 洱海游船         | 大理古城夜游     |
| 第四天     | 大理古城游览     | 自由活动         | 返回丽江         |
| 第五天     | 丽江购物         | 返程             | -                |

## 每日详细安排

### 第一天
- **上午**：乘坐南方航空航班抵达丽江，入住丽江古城客栈。
- **下午**：游览丽江古城，体验古城的历史文化。
- **晚上**：欣赏丽江古城的夜景，享受古城的夜生活。

### 第二天
- **上午**：前往玉龙雪山，乘坐缆车登顶，欣赏壮丽的雪山风光。
- **下午**：游览蓝月谷，感受大自然的鬼斧神工。
- **晚上**：返回丽江古城，自由活动，品尝当地美食。

### 第三天
- **上午**：乘车前往大理。
- **下午**：乘坐洱海游船，欣赏洱海风光。
- **晚上**：游览大理古城，体验大理的夜生活。

### 第四天
- **上午**：游览大理古城，参观洋人街、五华楼等景点。
- **下午**：自由活动，享受大理的悠闲时光。
- **晚上**：返回丽江，入住丽江古城客栈。

### 第五天
- **上午**：在丽江购物，购买当地特产。
- **下午**：乘坐航班返程。

## 餐饮推荐

- **丽江**：腊排骨火锅、丽江粑粑、鸡豆凉粉
- **大理**：大理砂锅鱼、乳扇、饵块

## 住宿建议

- **丽江**：丽江古城客栈，价格1692元，舒适且交通便利。
- **大理**：建议选择大理古城内的特色客栈，体验当地风情。

## 交通安排

- **机票**：南方航空，价格2310元。
- **丽江至大理**：建议乘坐大巴或包车，方便灵活。
- **当地交通**：建议使用出租车或租赁自行车，便于游览。

## 预算分配明细

- **机票**：2310元
- **住宿**：1692元
- **景点门票及交通**：约1000元
- **餐饮及购物**：约250元
- **总计**：5252元

## 实用贴士

- **天气**：云南昼夜温差大，建议携带保暖衣物。
- **装备**：建议携带防晒霜、墨镜、雨具等。
- **注意事项**：尊重当地文化习俗，注意环保，保持景区卫生。
```


============================================================
📝 本行程由LangGraph智能旅游规划系统生成
🔄 如需修改，请重新运行系统或联系客服
============================================================
