============================================================
🌟 智能旅游规划系统 - 行程方案
============================================================
📅 生成时间: 2025年12月14日 21:55:31
============================================================

# 云南5天4晚旅游行程表

## 行程概览

| 日期       | 上午             | 下午             | 晚上         |
|------------|------------------|------------------|--------------|
| 第一天     | 抵达丽江         | 丽江古城游览     | 丽江古城夜景 |
| 第二天     | 玉龙雪山游览     | 蓝月谷          | 自由活动     |
| 第三天     | 前往大理         | 洱海游船         | 大理古城夜景 |
| 第四天     | 大理古城游览     | 双廊镇          | 自由活动     |
| 第五天     | 返回丽江         | 购物及返程准备  | 返程         |

## 每日详细安排

### 第一天

- **上午**
  - 抵达丽江，入住丽江古城客栈
- **下午**
  - 游览丽江古城，感受古城的历史与文化
- **晚上**
  - 欣赏丽江古城夜景，享受当地特色小吃

### 第二天

- **上午**
  - 前往玉龙雪山，乘坐索道至冰川公园
- **下午**
  - 游览蓝月谷，欣赏美丽的自然风光
- **晚上**
  - 返回丽江古城，自由活动

### 第三天

- **上午**
  - 乘车前往大理，途中欣赏沿途风景
- **下午**
  - 乘船游览洱海，观赏湖光山色
- **晚上**
  - 大理古城夜景，品尝当地美食

### 第四天

- **上午**
  - 游览大理古城，参观崇圣寺三塔
- **下午**
  - 前往双廊镇，体验洱海边的宁静
- **晚上**
  - 自由活动，享受大理的夜晚

### 第五天

- **上午**
  - 返回丽江，购物纪念品
- **下午**
  - 整理行李，准备返程
- **晚上**
  - 乘机返程

## 餐饮推荐

- **丽江特色美食**：腊排骨火锅、丽江粑粑、鸡豆凉粉
- **大理特色美食**：烤乳扇、饵块、酸辣鱼

## 住宿建议

- **丽江**：丽江古城客栈（2200元/4晚）
- **大理**：大理古城内特色客栈（建议提前预订）

## 交通安排

- **机票**：中国国航，往返价格1221元
- **当地交通**：建议租车或使用当地出租车，方便灵活

## 预算分配明细

- **机票**：1221元
- **住宿**：2200元
- **餐饮**：约800元（每日200元）
- **景点门票及活动**：约450元
- **交通**：约200元
- **其他**：约100元（购物、纪念品等）
- **总计**：4671元

## 实用贴士

- **天气**：云南早晚温差大，建议携带保暖衣物
- **装备**：舒适的步行鞋、防晒霜、雨具
- **注意事项**：高原地区注意防止高原反应，保持充足的水分摄入

请根据实际情况调整行程安排，祝您旅途愉快！

============================================================
📝 本行程由LangGraph智能旅游规划系统生成
🔄 如需修改，请重新运行系统或联系客服
============================================================
